pulse.width,FSC,F692.4,F580.3,F530.4,SSC,TIME
12416,31898,29068,132,187,25778,56731
11264,25067,17394,20530,1745,30963,56731
9728,18203,187,121,132,34932,56731
13440,36405,21866,38392,52758,39408,56731
15808,47172,45503,204,2428,43558,56731
4800,8996,181,119,133,4621,56731
11264,24740,2368,119,141,34368,56731
15488,44079,42143,120,137,39815,56731
10496,15069,185,120,139,8391,56731
6912,11595,186,119,131,29159,56731
4416,8498,188,122,135,15639,56731
8512,15776,180,122,138,23750,56731
15872,42949,16517,1931,137,47153,56731
13184,35526,21680,37654,52067,39468,56731
2816,6516,184,118,137,32785,56731
13632,36484,21681,38189,52538,40568,56731
11584,27712,188,117,138,26814,56732
10880,23034,1682,120,136,32586,56732
13248,35673,22316,37803,52174,39957,56732
13440,34817,42683,118,696,49836,56732
3968,6840,239,118,138,17512,56732
11456,26422,186,119,133,45244,56732
14144,30515,186,120,138,10388,56732
13632,36576,22583,38541,52953,39853,56732
11904,29971,21872,25204,3646,30142,56732
11648,27889,188,124,138,26816,56732
1664,6963,188,117,133,20260,56732
11328,24248,8144,125,137,41414,56732
13504,21878,186,118,133,37208,56732
13376,36025,22242,38080,52494,39944,56732
12224,30326,29669,119,132,33616,56732
4608,9031,184,122,138,23378,56732
10880,22134,182,117,140,11362,56733
12096,22446,184,119,134,189,56733
9792,18966,185,125,134,35564,56733
13120,35631,21604,37907,52257,39640,56733
5568,9210,185,119,136,12615,56733
13248,36327,21811,38193,52527,40529,56733
10752,22132,185,120,134,10183,56733
6976,10420,187,121,137,192,56733
13376,36182,22154,38062,52611,40540,56733
11328,27190,188,119,133,41807,56733
13248,35816,22328,38056,52451,40040,56733
12672,34910,22245,37692,51862,38799,56733
1088,5675,187,150,203,15256,56733
8832,16400,181,124,136,20545,56733
13056,35171,21556,37537,51894,40121,56733
6400,11051,183,143,194,27339,56733
14784,40677,2984,127,136,42181,56733
7104,10192,187,124,132,5594,56733
8512,15418,185,119,135,23365,56733
9728,18887,14628,19298,140,20099,56733
13632,36324,22555,38282,52821,39247,56733
15104,42632,32850,118,153,38197,56733
13248,35437,22773,37786,52050,38823,56734
9088,17276,184,119,160,28815,56734
14144,38621,26253,43491,57526,43446,56734
10176,23804,185,119,144,28628,56734
12096,28659,183,117,132,30880,56734
13312,36398,22148,38413,52722,40341,56734
4736,8489,186,120,137,22078,56734
12096,28569,21064,22636,2762,25540,56734
10240,20712,21657,118,135,25741,56734
10368,21992,17654,20548,1646,21965,56734
13504,36592,22597,38430,52922,41151,56734
13632,37397,25945,41999,56201,42085,56734
7936,13122,184,120,132,12659,56734
8576,17755,184,118,139,44031,56734
12160,31964,28002,121,137,30551,56734
11392,25726,222,119,135,11585,56734
896,4170,185,116,133,15837,56734
1152,5953,184,120,136,3008,56734
12992,35259,21410,37855,52186,39784,56734
12992,34448,18685,36144,50405,39084,56735
13440,35935,22402,38023,52440,40197,56735
6720,11387,184,144,198,791,56735
12992,35151,21617,37834,52178,39765,56735
10944,23656,185,123,136,26490,56735
12992,35427,21672,37668,51969,39432,56735
896,3564,188,212,273,14990,56735
13312,35774,21920,37906,52270,38643,56735
7296,10983,192,165,215,191,56735
10944,24790,187,123,136,28067,56735
13440,36402,21984,38176,52618,41282,56735
8704,14814,26410,194,248,24394,56735
3648,7755,246,119,135,14234,56735
9280,16996,4480,122,139,30173,56735
5824,8495,187,122,139,9843,56735
7232,13301,183,121,138,18468,56735
10560,21588,185,122,134,45746,56735
11520,26139,1464,123,135,32910,56735
13248,35769,21994,37755,52119,38790,56735
1472,6295,184,120,144,23461,56735
3264,7776,185,121,133,21768,56735
5376,10000,185,115,137,11152,56735
8576,14744,184,120,132,20845,56735
4992,8485,185,121,136,23684,56735
13504,36241,2123,124,138,34889,56735
10496,16421,185,120,138,195,56735
11136,26351,184,117,137,28016,56735
5056,8189,184,120,135,23556,56736
3840,7594,188,121,137,12267,56736
7488,12463,185,123,137,22418,56736
8640,13700,186,121,136,2811,56736
13376,35802,20853,37745,52063,40220,56736
8320,13514,186,120,155,16999,56736
5184,9023,185,119,136,189,56736
1280,5964,182,119,135,17860,56736
9792,19961,15192,18924,138,21671,56736
13376,36058,22026,37918,52278,39303,56736
12864,35643,21586,38024,52580,40499,56736
10944,23394,189,130,179,32159,56736
12352,31940,188,119,137,35400,56736
13312,35946,21833,37717,52075,40238,56736
11968,28834,22615,26646,6125,22649,56736
6016,10486,185,122,136,12707,56737
13248,35993,21550,38071,52348,39739,56737
6400,11398,181,120,134,16541,56737
3392,6963,183,120,136,14699,56737
13184,35224,21621,37561,51714,38831,56737
10048,22016,184,125,139,6227,56737
13504,35726,21864,37945,52288,39613,56737
3008,6473,184,117,135,19109,56737
6720,12015,184,120,137,19876,56737
13248,35780,22167,37822,52152,39666,56737
1344,5709,184,119,136,11838,56737
13248,36510,22932,38429,52929,40901,56737
4672,7047,184,122,132,19925,56737
15872,46587,38561,122,138,38177,56737
15936,45385,48273,122,1981,54625,56737
13184,36128,22642,38196,52554,39536,56737
9984,21840,188,120,135,28734,56737
12608,28415,187,121,136,12126,56737
13056,35508,22300,37621,52194,39357,56737
13504,35945,29808,182,238,28125,56737
13120,35567,21182,37782,52086,40405,56738
13120,35627,21937,37904,52322,39790,56738
13568,35838,21369,37979,52384,39842,56738
13504,36499,22040,38468,52909,39989,56738
15680,44345,44754,122,147,40428,56738
13120,35496,21668,37945,52257,39264,56738
3456,7528,184,173,227,17034,56738
13440,36326,21528,38081,52627,40944,56738
13248,35592,21945,37853,52210,39693,56738
13184,35572,21432,38105,52381,39535,56738
13504,36239,21437,38291,52614,41173,56738
6080,10817,184,134,181,17261,56738
1088,5543,185,119,133,16788,56738
13248,35940,21958,38245,52623,39898,56738
15104,44455,40785,119,163,39495,56738
5952,9900,198,122,133,17612,56738
13184,35848,21344,37843,52407,39891,56738
13696,36114,21408,37967,52426,38493,56738
15872,46099,188,119,136,37711,56738
12416,31966,186,121,140,36920,56738
13120,35608,21801,37776,52137,39366,56738
11712,28489,183,122,150,36030,56738
3328,7147,184,116,133,14314,56738
7616,12671,188,120,138,195,56738
16704,48096,53690,4905,8029,53066,56738
3072,7284,185,120,135,3823,56739
13568,36187,21660,38060,52413,40537,56739
9728,18481,186,119,131,26986,56739
16576,50165,49704,2737,4639,44408,56739
7872,13084,289,118,140,25861,56739
1984,6056,184,116,139,19946,56739
10048,20871,185,121,137,36439,56739
13056,35408,21998,37823,52234,39352,56739
22272,39649,6149,120,172,48861,56739
9088,17182,191,122,133,22997,56739
1728,6537,186,119,134,21155,56739
13568,35919,21241,37671,52062,40857,56739
1472,6714,184,118,133,11863,56739
8064,14512,188,120,135,53650,56739
7936,14163,185,116,140,18904,56739
13696,36353,22346,38124,52482,40468,56739
13440,35601,21199,37550,51978,38821,56739
13760,36779,29457,32287,11820,33607,56740
13440,35917,21856,37772,52258,39496,56740
9600,18327,17324,20538,1805,25446,56740
13440,36337,22324,38103,52666,39183,56740
13120,34991,21218,37652,51895,39511,56740
10560,22171,15844,18985,178,23168,56740
13248,35852,21946,38105,52503,39940,56740
11008,23986,184,120,137,28488,56740
13120,36211,22049,38009,52458,39838,56740
14016,38742,5469,170,220,48690,56740
16128,43994,16413,6020,3813,52037,56740
15424,45185,35005,118,138,43380,56740
12736,32923,26816,28108,8123,29166,56740
13632,36175,22162,38163,52635,39455,56740
4544,7880,185,120,137,14923,56740
13312,36324,21778,38107,52535,39334,56740
6848,11248,186,125,135,193,56740
5952,9781,911,121,138,30779,56740
10944,23609,18392,22136,2071,24433,56740
14912,43033,32476,48578,61961,46724,56740
13504,36043,21970,37881,52401,40939,56740
13632,36411,22714,38403,52920,40741,56741
13248,35384,21970,37509,51885,40112,56741
5888,14335,184,129,186,24498,56741
13312,35632,21704,37776,52103,39344,56741
4224,7589,186,120,138,21458,56741
8128,14692,186,124,138,26524,56741
10816,23567,18849,23249,2048,26052,56741
1152,5370,185,120,136,15726,56741
13504,36073,21449,38153,52563,39784,56741
11456,25860,187,120,137,21267,56741
3328,6463,186,118,138,19714,56741
13184,35473,21094,37792,52129,40033,56741
13376,35899,22839,37911,52305,39553,56741
12096,29024,189,120,133,21702,56741
2432,6536,187,121,140,22122,56741
13248,35350,22146,37783,52215,39245,56741
2944,7017,186,212,266,20484,56741
13184,35614,21368,37669,52076,39866,56741
7232,11280,189,119,162,7511,56741
13248,35885,22034,37987,52494,40315,56741
4928,8623,187,134,187,20205,56741
6144,10611,1142,119,132,18824,56741
2944,7033,188,116,132,17047,56741
6528,11504,183,121,136,28864,56741
14784,41522,38559,122,140,37411,56741
13504,36272,22815,38322,52726,40300,56741
13120,35270,20539,37913,51955,39955,56742
19520,34924,54941,8112,7507,58251,56742
3200,8245,760,118,137,21664,56742
5952,10847,186,118,136,21419,56742
13376,36027,21618,38012,52411,40711,56742
7424,12812,187,117,140,19672,56742
13568,36303,22272,38289,52666,40276,56742
4352,8070,182,120,138,18049,56742
12864,35113,21476,37473,51928,38818,56742
1216,5632,186,158,214,13297,56742
10688,23335,19270,21873,1461,22095,56742
1024,5439,185,116,137,8417,56742
12928,34869,21331,37157,51424,38468,56742
12736,35103,20626,37753,52255,39859,56742
11264,25905,18706,21816,135,21777,56742
12672,33308,23195,118,135,32450,56742
13568,36244,21364,38112,52515,39746,56742
10304,20923,18552,20752,2285,25447,56743
10880,24591,21155,23494,4506,23189,56743
4544,7813,211,154,133,24131,56743
13312,36269,22015,38182,52711,40708,56743
13248,35502,22688,37814,52306,39694,56743
13120,35529,21931,37876,52322,39717,56743
13184,35503,21705,37861,52268,40075,56743
9792,17055,188,119,137,7213,56743
4160,8232,185,116,136,10473,56743
13376,36490,21515,38284,52768,39443,56743
6144,9328,182,128,180,5474,56743
16000,44178,182,121,138,33265,56743
11776,24200,188,123,138,190,56743
5056,9721,186,119,140,17783,56743
13056,34181,32543,124,133,33728,56743
10560,22059,15603,17846,1141,22900,56743
13056,35639,22892,37959,52419,40066,56743
5568,10167,185,166,218,23194,56743
13824,37480,26050,42442,56676,43519,56743
2432,6516,185,183,232,15858,56743
4160,8154,182,122,132,12806,56744
13376,36261,22354,38177,52643,40419,56744
13504,36515,22503,38713,53065,40599,56744
10752,24472,185,166,219,22427,56744
13312,36248,22266,38151,52714,39686,56744
13376,35866,22573,37929,52383,39968,56744
13504,36183,22005,38116,52626,40943,56744
7680,12294,190,211,264,26977,56744
6144,13848,188,118,138,21237,56744
1024,5239,188,120,138,18636,56744
7488,13787,185,120,137,27271,56744
13440,35826,21302,37977,52387,39799,56744
8640,14179,186,119,136,23223,56744
10816,23800,16164,20435,1257,24895,56744
13056,35627,21211,37792,52146,38868,56744
10368,21512,17283,21544,2958,18838,56744
13184,35680,22611,37998,52297,40209,56744
4352,7515,179,121,136,19369,56744
1856,6307,189,115,135,21263,56744
14720,39917,2582,123,137,37557,56744
1344,5666,182,124,135,24784,56745
5760,9938,6536,4098,135,28660,56745
10624,22722,18009,21704,2005,22446,56745
13568,36718,33813,118,132,28314,56745
13696,35548,28776,32698,12493,30318,56745
15552,45827,43224,121,1580,39838,56745
1984,6670,254,117,138,16923,56745
13952,38711,26493,42705,56798,43889,56745
13120,35606,21386,38074,52366,39608,56745
16448,49510,50239,4593,6123,46634,56745
13568,35980,21313,37906,52214,39084,56745
3200,7440,186,119,136,6174,56745
6080,9719,187,118,140,23958,56745
13120,35189,21716,37757,52089,39245,56745
13376,36381,22363,38186,52805,41114,56745
4864,9311,181,136,191,19754,56745
13376,36595,21837,38410,52912,41354,56745
11584,29155,189,120,159,32645,56745
3776,7623,189,121,135,15961,56745
11392,25157,189,117,139,27750,56745
13248,36174,22374,38143,52486,40930,56745
4096,8781,185,189,240,18342,56745
13696,36478,33617,119,135,33683,56745
7808,15305,196,122,138,18849,56745
8704,16957,182,123,136,19069,56746
9536,17847,187,119,135,32767,56746
14336,40548,15212,117,138,46675,56746
13568,36252,21777,38050,52378,40719,56746
7680,13200,187,122,136,28694,56746
13696,36256,21304,38146,52592,39107,56746
5312,7964,187,120,136,15651,56746
15232,39933,187,119,136,34153,56746
1024,5410,189,117,138,27198,56746
13376,35368,21411,37652,52027,39396,56746
13376,35945,21578,38238,52567,39335,56746
15552,31401,188,120,171,13533,56746
12608,32739,26080,119,138,29716,56746
7296,11813,187,118,136,43962,56746
13568,36026,21855,37823,52275,39307,56746
13504,36171,22926,38024,52367,39894,56746
13632,36083,22022,38309,52646,39896,56746
13632,36358,21930,38098,52701,41111,56746
9536,17121,184,120,135,195,56747
8896,16199,183,121,135,24633,56747
13504,36231,21737,38033,52395,39897,56747
4416,7534,186,122,135,23400,56747
14080,31721,186,116,134,15332,56747
12928,35498,21787,37744,52182,39335,56747
5120,9812,186,133,185,28040,56747
13568,35998,22514,37949,52363,40356,56747
13184,35834,22142,37868,52298,39544,56747
4544,7519,185,156,212,23906,56747
9408,26385,185,123,136,30148,56747
16064,35819,185,116,135,16914,56747
1408,5715,185,119,136,19166,56747
4672,8160,185,118,138,19101,56747
11520,26461,25984,118,133,27211,56747
10496,21950,17596,20983,1456,22129,56747
4416,8177,184,122,135,18711,56747
5056,7601,185,119,137,20906,56747
8256,13646,186,123,136,1019,56747
7424,12638,184,122,139,23356,56747
13888,37919,26162,43088,57234,43964,56747
10304,21146,16563,21901,1117,20921,56747
13184,35686,21949,37692,52129,40214,56747
7424,13167,186,118,130,22675,56748
3584,7254,186,122,137,12465,56748
10176,15062,187,118,138,193,56748
12928,33040,6077,120,139,35329,56748
13056,35248,21983,37640,52155,40056,56748
9856,20189,17660,21360,745,19140,56748
13632,36356,22804,38375,52805,39900,56748
18048,42990,186,161,219,35624,56748
13056,35001,22654,37844,52165,39806,56748
1152,5906,189,202,253,18055,56748
5440,9106,182,120,135,17026,56748
9088,15763,186,120,133,23472,56748
6912,10334,185,121,136,194,56748
8960,15580,187,116,136,38623,56748
13248,35453,21370,37756,52028,38777,56748
13632,36231,21755,38458,52727,39372,56748
13504,36446,22682,38445,52937,40527,56748
2688,6769,188,129,184,22197,56748
4096,6484,188,120,138,21572,56748
10176,20507,181,122,136,24621,56748
13120,35712,21553,37657,52209,40165,56748
9024,16560,188,149,204,19310,56748
9600,18866,188,121,134,20311,56748
13632,36482,22262,38381,52777,40890,56749
35968,37986,59571,12159,10677,57027,56749
11072,24447,19241,21881,1431,21886,56749
13632,36163,21154,38045,52644,39544,56749
13568,36182,22140,38193,52633,40462,56749
7616,12113,186,189,244,21370,56749
13248,35834,21542,37976,52421,39143,56749
12544,23252,189,124,161,196,56749
13184,31710,44970,122,1306,47401,56749
7552,11713,182,123,136,28256,56749
13184,35931,21950,37872,52477,40926,56749
13504,35889,21857,37989,52291,39513,56749
14272,38312,26874,43325,57401,43845,56749
14720,42885,30323,46560,59972,44631,56749
12672,32578,28773,122,136,28667,56749
9920,18946,18848,18367,140,14252,56749
16384,48770,41516,308,3581,50462,56749
14912,41563,42251,118,138,47693,56749
8832,17264,185,120,137,18813,56749
8384,16640,185,121,135,1437,56749
13440,36276,21955,38176,52707,38864,56750
9792,18350,1170,120,135,22268,56750
8896,31013,187,121,136,39964,56750
6784,11040,1292,121,136,28326,56750
960,5444,181,121,135,20015,56750
11968,29269,23377,24364,3511,27197,56750
5120,7437,185,116,139,24510,56750
4352,7909,186,118,135,25956,56750
8640,17034,184,122,131,21206,56750
2752,6864,182,117,136,190,56750
7936,13653,186,119,142,27098,56751
11328,25798,20170,22729,145,23644,56751
13376,35016,188,118,135,37170,56751
13120,35331,21598,37830,52162,39944,56751
13888,36641,22872,38411,53016,39851,56751
12288,30890,17558,17156,1018,31825,56751
13184,35126,20984,37598,52073,39728,56751
1088,5544,186,120,141,194,56751
6144,9844,188,120,135,14719,56751
13056,35453,21856,37679,52014,39453,56751
1536,6349,182,157,212,10250,56751
13184,35858,22013,37954,52472,39583,56751
12928,32264,187,124,136,2177,56751
5120,9800,757,119,136,25011,56751
16768,52156,54953,10638,12652,50778,56751
1472,5652,290,124,135,195,56751
12544,22478,185,114,136,3038,56751
1728,6223,185,123,138,15395,56751
13760,36748,30236,120,139,27710,56751
11072,24737,20224,22486,1564,21745,56751
13952,39627,186,121,134,43781,56751
3008,6938,184,122,135,11998,56751
11904,29552,184,121,134,14414,56751
6912,11689,187,123,133,26171,56751
13248,35992,21475,38005,52462,39915,56752
1344,5661,188,120,135,12556,56752
13568,36365,23008,38431,52855,40745,56752
7424,13090,186,122,137,18340,56752
10752,22293,795,120,136,21157,56752
3136,7465,186,119,136,21751,56752
